,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date,timeToMarket,start,end,percent,PE,PB,dividend
31,600074,保千里,0.18,520.69,,33.53,,37347.54,1313.6,,02-27,19970623.0,5.83,16.47,182.504288165,91.5,,7.19763909773
2958,002582,好想你,-0.02,-105.56,,-0.23,,-323.31,-106.02,,04-21,20110520.0,9.15,7.791,-14.8524590164,-389.55,,7.13821192053
2738,000159,国际实业,0.12,-56.6,,2.59,,5602.15,-56.58,10派0.3,03-29,20000926.0,9.992,9.191,-8.0164131305,76.5916666667,,7.05801947566
846,000625,长安汽车,2.13,31.48,,33.14,,995271.42,31.63,10派6.4,04-19,19970610.0,14.808,15.477,4.51782820097,7.2661971831,,7.00115156951
26,300033,同花顺,1.78,709.09,,57.81,,95722.28,1483.35,,02-05,20091225.0,22.061,69.138,213.394678392,38.8415730337,,6.95120427172
57,002568,百润股份,0.56,55.56,,46.22,,50019.77,777.47,,03-17,20110325.0,20.124,42.69,112.13476446,76.2321428571,,6.93335384208
38,002425,凯撒文化,0.19,850.0,,4.42,,8091.47,1132.71,,04-30,20100608.0,6.708,18.023,168.679189028,94.8578947368,,6.71517338047
373,000962,东方钽业,-1.45,89.25,,-36.04,,-63713.43,89.25,,04-19,20000120.0,11.64,13.19,13.3161512027,-9.09655172414,,6.7023870968
2846,002155,湖南黄金,0.03,-76.92,,0.85,,2865.04,-78.26,,03-31,20070816.0,10.133,8.94,-11.7734135991,298.0,,6.64718005031
63,002157,正邦科技,0.52,550.0,,13.7,,31143.5,657.57,10派1.0003,04-22,20070817.0,3.289,6.599,100.638491943,12.6903846154,,6.53398105739
3017,000059,华锦股份,0.21,-115.89,,3.49,,32868.55,-120.7,,03-24,19970130.0,9.64,7.839,-18.6825726141,37.3285714286,,6.46056635203
40,300059,东方财富,1.09,695.4,,66.42,,184857.12,1015.45,,03-19,20100319.0,9.189,23.976,160.920666014,21.9963302752,,6.3102522824
96,002416,爱施德,0.14,386.21,,3.21,,14063.13,382.54,,04-19,20100528.0,10.7,17.243,61.1495327103,123.164285714,,6.25581231851
342,000685,中山公用,1.05,9.38,,17.35,,148442.97,98.46,10派3,03-29,19970123.0,11.629,13.486,15.9686989423,12.8438095238,,6.16581227787
147,600829,人民同泰,0.24,248.76,,7.87,,13891.62,248.59,,01-30,19940224.0,11.424,16.054,40.5287114846,66.8916666667,,6.13367637149
2894,000425,徐工机械,0.01,-96.5,,0.24,,5059.82,-87.76,,03-31,19960828.0,4.954,4.238,-14.4529672992,423.8,,6.07210949719
2945,600227,赤天化,0.02,-103.52,,0.71,,2024.83,-103.52,,04-12,20000221.0,6.08,5.04,-17.1052631579,252.0,,6.05193846154
114,002016,世荣兆业,0.08,258.33,,3.82,,6387.93,334.53,,03-30,20040708.0,8.333,12.967,55.610224409,162.0875,,6.01562039275
78,600651,飞乐音响,0.38,339.08,,12.16,,37613.81,482.01,10派1.15,03-19,19901219.0,8.007,14.452,80.4920694392,38.0315789474,,5.98829180761
118,600189,吉林森工,0.14,366.67,,3.39,,4470.64,321.49,10派0.5,04-30,19981007.0,8.339,12.837,53.9393212615,91.6928571429,,5.96021589596
162,600230,沧州大化,-2.07,201.41,,-38.61,,-60997.91,217.07,,03-24,20000406.0,11.284,15.434,36.7777383906,-7.45603864734,,5.90221175904
2594,000536,华映科技,0.2,-39.16,,5.39,,15196.25,-39.15,,02-27,19931126.0,9.758,9.109,-6.65095306415,45.545,,5.88637442219
34,002555,三七互娱,0.58,132.0,,17.58,,50601.65,1224.18,,03-12,20110302.0,7.853,24.264,208.977460843,41.8344827586,,5.85795231247
798,601336,新华保险,2.76,34.63,18.54,16.2,2.39,860100.0,34.26,,03-30,20111216.0,48.58,51.44,5.88719637711,18.6376811594,2.77454153182,5.81940839161
46,600303,曙光股份,0.17,750.0,,4.47,,10341.5,914.27,,03-24,20001226.0,5.932,15.302,157.956844235,90.0117647059,,5.78809993595
130,002374,丽鹏股份,0.37,131.25,,6.29,,12130.47,286.93,,03-16,20100318.0,5.093,7.624,49.6956607108,20.6054054054,,5.7737435401
2840,600362,江西铜业,0.18,-78.05,,1.39,,63721.81,-77.65,10派1,03-23,20020111.0,17.927,15.497,-13.5549729458,86.0944444444,,5.72852489713
1435,600056,中国医药,0.61,9.0,,11.91,,61445.36,11.68,10派1.8206,03-29,19970515.0,15.934,16.26,2.04593950044,26.6557377049,,5.70886871165
74,002523,天桥起重,0.17,325.0,,7.38,,8172.38,496.49,,03-26,20101210.0,2.766,5.196,87.852494577,30.5647058824,,5.65140469136
64,002714,牧原股份,1.23,272.73,,26.63,,59585.08,642.97,,02-25,20140128.0,10.669,22.84,114.0781704,18.5691056911,,5.63622293157
99,000821,京山轻机,0.12,300.0,,3.47,,5058.83,377.78,10派0.1,04-23,19980626.0,9.683,16.231,67.6236703501,135.258333333,,5.58650540623
115,600236,桂冠电力,0.54,108.5,,29.99,,256918.65,333.39,10派3,03-31,20000323.0,4.343,7.008,61.3631130555,12.9777777778,,5.43306855535
196,002514,宝馨科技,0.17,142.86,,4.66,,4676.1,176.71,,04-28,20101203.0,5.582,7.403,32.6227158724,43.5470588235,,5.41677770457
216,000928,中钢国际,0.73,114.2,,18.09,,47018.42,157.67,,03-11,19990312.0,7.577,9.799,29.3255906031,13.4232876712,,5.37653280829
51,300173,智慧松德,0.13,85.71,,4.73,,7359.68,841.48,,04-23,20110201.0,6.927,17.815,157.182041288,137.038461538,,5.35353780308
2896,002353,杰瑞股份,0.15,-88.1,,1.85,,14477.48,-87.94,,04-09,20100205.0,30.326,25.291,-16.6029149904,168.606666667,,5.2966602582
159,600305,恒顺醋业,0.8,203.74,,17.49,,23964.54,220.41,10派2.4转10,04-19,20010206.0,8.891,12.592,41.6263637386,15.74,,5.29496165901
676,600990,四创电子,0.84,43.25,,11.84,,11530.07,43.83,,03-19,20040510.0,57.783,62.568,8.28098229583,74.4857142857,,5.29285034483
508,601333,广深铁路,0.15,66.67,,3.96,,107082.3,61.75,,03-30,20061222.0,4.325,4.835,11.7919075145,32.2333333333,,5.23664215684
127,000670,盈方微,0.03,144.76,,4.13,,2100.9,305.0,,04-29,19961217.0,9.91,15.86,60.0403632694,528.666666667,,5.07991596639
72,002173,创新医疗,-0.32,540.0,,-14.65,,-6533.77,502.66,,04-16,20070925.0,13.08,26.14,99.8470948012,-81.6875,,5.03429770291
