,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date,timeToMarket,start,end,percent,PE,PB,dividend
3047,002647,民盛金科,0.0,-101.63,,0.1,,112.07,-102.77,,08-24,20111228,39.569,36.27,-8.33733478228,inf,,12.3264811458
2738,600803,新奥股份,0.1,-41.18,,2.14,,9913.03,-42.3,,08-31,19940103,14.16,13.67,-3.4604519774,136.7,,12.2238367347
457,601996,丰林集团,0.07,16.67,,3.72,,6681.9,120.25,,08-31,20110929,4.661,5.12,9.84767217335,73.1428571429,,12.2110076253
3000,000534,万泽股份,0.02,-90.26,,0.63,,875.51,-90.25,,08-16,19940110,16.306,15.1,-7.39605053355,755.0,,12.2024585406
3229,600898,国美通讯,-0.06,-285.15,,-3.88,,-1415.67,-284.76,,08-19,19960418,17.14,13.12,-23.4539089848,-218.666666667,,12.1412597015
3248,002070,*ST众和,-0.11,-321.18,,-4.46,,-6901.4,-321.11,,08-29,20061012,13.88,10.17,-26.7291066282,-92.4545454545,,12.0134954178
2619,000656,金科股份,0.06,-57.14,,2.13,,45559.23,-31.66,,08-22,19961128,5.084,4.95,-2.63571990559,82.5,,12.0118985074
3217,000893,东凌国际,-0.03,-254.86,,-0.48,,-2049.88,-255.01,,08-26,19981224,11.59,9.12,-21.3114754098,-304.0,,11.9658538462
143,600490,鹏欣资源,0.06,442.61,,1.95,,11315.81,498.35,,08-18,20030626,7.8,11.05,41.6666666667,184.166666667,,11.9604
133,600549,厦门钨业,0.42,561.77,,6.75,,45304.47,562.12,,08-10,20021107,21.817,32.13,47.2704771508,76.5,,11.8915660235
2435,601788,光大证券,0.27,-30.77,,2.6,,123748.81,-18.3,,08-30,20090818,15.774,15.53,-1.54684924559,57.5185185185,,11.8305
3121,000505,珠江控股,0.04,-136.36,,23.37,,1722.61,-136.36,,08-25,19921221,11.96,10.58,-11.5384615385,264.5,,11.8178666666
587,002002,鸿达兴业,0.21,84.07,,12.51,,50495.52,82.93,,08-22,20040625,7.241,7.75,7.02941582654,36.9047619048,,11.7975664047
175,300157,恒泰艾普,0.1,400.0,,1.87,,7093.83,403.8,,08-24,20110107,9.19,12.34,34.2763873776,123.4,,11.7807047619
503,002423,中原特钢,-0.2,104.02,,-5.59,,-9955.62,104.15,,08-25,20100603,12.73,13.87,8.9552238806,-69.35,,11.6300833333
2998,600805,悦达投资,0.01,-89.47,,0.13,,854.54,-89.43,,08-26,19940103,8.377,7.73,-7.72352870956,773.0,,11.5789043277
408,002408,齐翔腾达,0.18,125.0,,5.36,,32325.64,141.93,,08-10,20100518,10.943,12.29,12.3092387828,68.2777777778,,11.5303636971
