,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date,timeToMarket,start,end,percent,PE,PB,dividend
3109,002061,江山化工,0.12,-130.0,,4.05,,6627.97,-136.15,,02-27,20060816.0,9.26,8.99,-2.91576673866,74.9166666667,,46.6944074074
3186,000822,山东海化,-0.14,-200.0,,-5.58,,-12308.68,-200.36,,03-25,19980703.0,7.41,7.09,-4.31848852901,-50.6428571429,,46.3958625001
83,600507,方大特钢,0.5,525.0,,28.51,,66583.73,528.6,10派2.52,04-22,20030930.0,5.868,6.539,11.4349011588,13.078,,46.2268971685
3260,600618,氯碱化工,-0.28,-443.05,,-15.61,,-32809.18,-443.14,,03-30,19921113.0,16.14,14.59,-9.60346964064,-52.1071428571,,46.1437393549
3307,600022,山东钢铁,-0.07,-765.42,,-3.64,,-59989.16,-890.06,10转3,04-20,20040629.0,2.394,1.925,-19.5906432749,-27.5,,45.4329134327
3171,601898,中煤能源,0.15,-178.95,,2.4,,202653.0,-180.42,,03-23,20080201.0,6.013,5.774,-3.97472143689,38.4933333333,,45.391860251
269,000536,华映科技,0.39,99.59,,7.26,,39566.97,160.37,10派1转6,03-21,19931126.0,9.109,9.437,3.60083433966,24.1974358974,,44.5369003049
3314,002052,同洲电子,-0.82,-920.0,,-49.47,,-61038.73,-1009.17,,04-27,20060627.0,14.65,11.2,-23.5494880546,-13.6585365854,,42.8531608696
2992,000960,锡业股份,0.09,-106.92,,1.75,,13611.93,-106.91,,04-08,20000221.0,13.46,13.12,-2.52600297177,145.777777778,,42.3237823529
3312,600967,内蒙一机,0.32,-563.77,,8.52,,49650.87,-976.35,10派0.3,04-06,20040518.0,17.711,13.54,-23.5503359494,42.3125,,41.4580073124
3129,300164,通源石油,0.05,-145.45,,1.59,,2197.44,-147.32,,03-31,20110113.0,10.717,10.328,-3.62974713073,206.56,,40.5868493573
159,300313,天山生物,-0.72,260.0,,-35.15,,-13962.98,291.56,,03-30,20120425.0,17.7,19.0,7.34463276836,-26.3888888889,,39.6970153846
415,002639,雪人股份,0.05,66.67,,1.53,,3305.4,99.41,,04-28,20111205.0,12.014,12.316,2.51373397703,246.32,,39.5467463576
169,600477,杭萧钢构,0.43,158.68,,24.08,,44875.84,272.38,10派0.8送1转2,04-15,20031110.0,7.195,7.692,6.90757470466,17.888372093,,39.4320744467
65,600782,新钢股份,0.18,314.94,,6.03,,50292.27,730.46,10派0.2,04-18,19961225.0,2.8,3.322,18.6428571429,18.4555555556,,39.181762452
3068,000761,本钢板材,0.25,-123.71,,6.34,,78127.48,-123.72,,03-30,19980115.0,5.56,5.38,-3.23741007194,21.52,,38.2157333334
3053,600281,太化股份,0.06,-118.58,,6.16,,3293.2,-118.58,,04-29,20001109.0,7.72,7.48,-3.10880829016,124.666666667,,38.1432333333
3065,600520,中发科技,0.08,-122.22,,2.92,,1235.1,-121.67,,04-19,20020108.0,27.88,26.99,-3.19225251076,337.375,,38.114152809
3290,600707,彩虹股份,-0.37,-628.57,,-19.1,,-27251.25,-642.68,,03-17,19960520.0,10.84,8.99,-17.0664206642,-24.2972972973,,37.6575740541
337,002545,东方铁塔,0.16,102.71,,4.08,,13649.5,125.74,,04-28,20110211.0,10.758,11.122,3.3835285369,69.5125,,37.1623879121
212,600864,哈投股份,0.24,20.0,,3.99,,34255.56,216.4,10派1,04-22,19940809.0,10.664,11.288,5.85146286572,47.0333333333,,36.9822051282
3288,601002,晋亿实业,0.09,-550.0,,3.12,,7119.05,-624.88,,04-18,20070126.0,11.53,9.52,-17.4327840416,105.777777778,,35.8451064677
60,000659,*ST中富,-0.45,800.0,,-75.3,,-57349.47,764.19,,04-29,19961203.0,5.73,6.96,21.4659685864,-15.4666666667,,35.6000707317
18,000820,神雾节能,0.75,1784.42,,62.66,,33330.22,2809.62,,04-27,19980630.0,16.05,28.9,80.062305296,38.5333333333,,35.0929190661
3166,002119,康强电子,0.21,-175.0,,6.47,,4361.79,-176.15,10派1,03-28,20070302.0,21.691,20.578,-5.1311603891,97.9904761905,,34.3294667565
666,000028,国药一致,2.8,33.33,,15.06,,118660.19,55.86,10派3.3,04-19,19930809.0,65.549,66.619,1.63236662649,23.7925,,34.2202536449
3327,600358,国旅联合,-0.33,-1208.47,,-28.61,,-16310.36,-1381.08,,02-25,20000922.0,17.0,10.08,-40.7058823529,-30.5454545455,,33.928265896
3093,000825,太钢不锈,0.2,-130.83,,5.24,,114565.52,-130.87,10派0.2,04-27,19981021.0,4.081,3.922,-3.8961038961,19.61,,33.5899666667
1511,600436,片仔癀,0.89,-23.28,,16.2,,53613.19,14.88,10派2.7,04-13,20030616.0,45.368,45.57,0.445247751719,51.202247191,,33.4195960396
201,601168,西部矿业,0.04,300.0,,0.88,,9980.08,228.6,,03-18,20070712.0,7.272,7.77,6.84818481848,194.25,,33.3811084337
116,600389,江山股份,0.18,230.34,,3.93,,5238.04,395.52,10派0.53,04-18,20010110.0,17.581,19.677,11.9219612081,109.316666667,,33.1757496184
3252,300323,华灿光电,0.35,-350.0,,9.83,,26719.04,-378.43,,02-27,20120601.0,10.141,8.956,-11.6852381422,25.5885714286,,32.3853048945
414,300450,先导智能,0.71,-59.09,,35.56,,29065.21,99.68,,03-09,20150518.0,32.872,33.891,3.09990265271,47.7338028169,,32.1558484789
49,002746,仙坛股份,1.49,893.33,,18.63,,24551.6,988.41,,04-28,20150216.0,37.262,48.94,31.340239386,32.8456375839,,31.5380488268
3151,300322,硕贝德,0.16,-161.54,,12.46,,6715.65,-164.76,,04-25,20120608.0,19.465,18.447,-5.22989982019,115.29375,,31.5034715128
3242,600689,上海三毛,0.46,-342.11,2.11,24.49,,9248.98,-338.57,,03-25,19931108.0,22.39,19.98,-10.7637338097,43.4347826087,9.4691943128,31.4546983404
3235,002077,大港股份,0.08,-260.0,,1.41,,4159.49,-325.74,,03-31,20061116.0,19.95,17.88,-10.3759398496,223.5,,31.3937826088
3271,002148,北纬科技,0.31,-542.86,,7.51,,7883.05,-512.76,,03-29,20070810.0,10.315,8.619,-16.4420746486,27.8032258065,,31.1858455188
3018,002660,茂硕电源,-0.01,-116.67,,-0.21,,-178.81,-111.14,,04-18,20120316.0,15.765,15.2,-3.58388836029,-1520.0,,31.0110106195
2987,601177,杭齿前进,0.02,-106.07,,0.45,,730.0,-106.09,10派0.18,04-08,20101011.0,10.944,10.565,-3.46308479532,528.25,,30.6345372032
3303,002693,双成药业,-0.96,-838.46,,-52.96,,-38841.06,-837.32,,04-20,20120808.0,14.85,10.78,-27.4074074074,-11.2291666667,,30.5508648649
3064,002272,川润股份,0.03,-121.46,,1.25,,1454.82,-121.44,,03-25,20080919.0,11.04,10.6,-3.98550724638,353.333333333,,30.4704
123,002114,罗平锌电,0.31,342.86,,9.66,,8291.35,367.67,,03-31,20070215.0,19.76,22.16,12.1457489879,71.4838709677,,30.2714966666
3121,600250,南纺股份,0.07,-141.18,,5.25,,1719.22,-139.44,,04-29,20010306.0,16.37,15.61,-4.64263897373,223.0,,30.0346421053
2988,000597,东北制药,0.05,-106.17,,1.03,,2378.81,-106.19,,04-06,19960523.0,10.37,10.0,-3.56798457088,200.0,,29.7619
2841,600128,弘业股份,0.09,-65.45,,1.51,,2287.53,-65.45,10派0.5,04-28,19970901.0,15.484,15.142,-2.2087315939,168.244444444,,29.6323918129
63,601699,潞安环能,0.29,866.67,,4.75,,85714.09,732.02,10派0.9,03-31,20060922.0,6.347,7.958,25.3820702694,27.4413793103,,28.8400430789
517,002350,北京科锐,0.35,75.15,,6.81,,7646.22,78.63,10派1.5转7,04-14,20100203.0,11.878,12.202,2.7277319414,34.8628571429,,28.8261462963
